company,company_website,target_title,linkedin_search_query,linkedin_search_url,why_this_search_matters,manual_review_status,notes
ReelShort,https://www.reelshort.com,Producer,"""ReelShort"" ""Producer""",https://www.linkedin.com/search/results/people/?keywords=%22ReelShort%22+%22Producer%22,"A Producer at ReelShort may influence production planning, creative development, or production partnerships.",Not reviewed,
ReelShort,https://www.reelshort.com,Executive Producer,"""ReelShort"" ""Executive Producer""",https://www.linkedin.com/search/results/people/?keywords=%22ReelShort%22+%22Executive+Producer%22,"An Executive Producer at ReelShort may influence production planning, creative development, or production partnerships.",Not reviewed,
ReelShort,https://www.reelshort.com,Creative Producer,"""ReelShort"" ""Creative Producer""",https://www.linkedin.com/search/results/people/?keywords=%22ReelShort%22+%22Creative+Producer%22,"A Creative Producer at ReelShort may influence production planning, creative development, or production partnerships.",Not reviewed,
ReelShort,https://www.reelshort.com,Development Producer,"""ReelShort"" ""Development Producer""",https://www.linkedin.com/search/results/people/?keywords=%22ReelShort%22+%22Development+Producer%22,"A Development Producer at ReelShort may influence production planning, creative development, or production partnerships.",Not reviewed,
ReelShort,https://www.reelshort.com,Head of Production,"""ReelShort"" ""Head of Production""",https://www.linkedin.com/search/results/people/?keywords=%22ReelShort%22+%22Head+of+Production%22,"A Head of Production at ReelShort may influence production planning, creative development, or production partnerships.",Not reviewed,
ReelShort,https://www.reelshort.com,Production Manager,"""ReelShort"" ""Production Manager""",https://www.linkedin.com/search/results/people/?keywords=%22ReelShort%22+%22Production+Manager%22,"A Production Manager at ReelShort may influence production planning, creative development, or production partnerships.",Not reviewed,
ReelShort,https://www.reelshort.com,Head of Content,"""ReelShort"" ""Head of Content""",https://www.linkedin.com/search/results/people/?keywords=%22ReelShort%22+%22Head+of+Content%22,"A Head of Content at ReelShort may influence content strategy, acquisition, or short-form programming decisions.",Not reviewed,
ReelShort,https://www.reelshort.com,VP of Content,"""ReelShort"" ""VP of Content""",https://www.linkedin.com/search/results/people/?keywords=%22ReelShort%22+%22VP+of+Content%22,"A VP of Content at ReelShort may influence content strategy, acquisition, or short-form programming decisions.",Not reviewed,
ReelShort,https://www.reelshort.com,Content Acquisition Manager,"""ReelShort"" ""Content Acquisition Manager""",https://www.linkedin.com/search/results/people/?keywords=%22ReelShort%22+%22Content+Acquisition+Manager%22,"A Content Acquisition Manager at ReelShort may influence content strategy, acquisition, or short-form programming decisions.",Not reviewed,
ReelShort,https://www.reelshort.com,Partnerships Manager,"""ReelShort"" ""Partnerships Manager""",https://www.linkedin.com/search/results/people/?keywords=%22ReelShort%22+%22Partnerships+Manager%22,"A Partnerships Manager at ReelShort may influence company partnerships, business development, or senior decisions.",Not reviewed,
ReelShort,https://www.reelshort.com,Business Development Manager,"""ReelShort"" ""Business Development Manager""",https://www.linkedin.com/search/results/people/?keywords=%22ReelShort%22+%22Business+Development+Manager%22,"A Business Development Manager at ReelShort may influence company partnerships, business development, or senior decisions.",Not reviewed,
ReelShort,https://www.reelshort.com,Founder,"""ReelShort"" ""Founder""",https://www.linkedin.com/search/results/people/?keywords=%22ReelShort%22+%22Founder%22,"A Founder at ReelShort may influence company partnerships, business development, or senior decisions.",Not reviewed,
